terms,frequency
company,9
work,8
working,8
engineers,5
talented people,4
employees,4
smart,4
practice,3
ceos,3
people,3
make,3
learn,3
constructive criticism,3
raises,3
low,3
recognition,3
listen,3
engineering,3
career growth,2
preach,2
encourage,2
acknowledge,2
intelligent,2
smother,2
receive,2
reward,2
culture,2
leave,2
decide,2
interesting,2
addressed,2
great office,2
utilized,2
stop,2
long way,2
focus,2
team,2
startup,2
scale,2
free snacks,2
time,2
opportunity,2
friendly atmosphere,2
fun,2
amazing,2
